TP_FAIXA_ETARIA;TP_SEXO;TP_ANO_CONCLUIU;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;SG_UF_PROVA;Q007;Q019;Q021;Q023
8;M;0;5205406;Ceres;GO;B;A;B;B
8;F;0;5211800;Jaraguá;GO;C;A;A;A
9;M;8;5210901;Itapaci;GO;C;A;A;A
8;F;5;5208608;Goianésia;GO;B;A;A;A
8;F;5;5205406;Ceres;GO;D;A;B;A
8;F;6;5208608;Goianésia;GO;C;A;A;A
11;M;4;5208608;Goianésia;GO;B;A;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;L;B;D;D
1;F;0;5218904;Rubiataba;GO;C;A;B;A
1;F;0;5205406;Ceres;GO;G;B;C;A
4;F;1;5218904;Rubiataba;GO;C;A;B;A
5;F;0;5205406;Ceres;GO;C;A;A;A
7;M;4;5205406;Ceres;GO;H;B;C;A
1;M;0;5208608;Goianésia;GO;G;A;A;A
3;F;0;5208608;Goianésia;GO;G;A;B;B
1;F;0;5218904;Rubiataba;GO;B;B;A;A
1;M;0;5211206;Itapuranga;GO;B;A;A;A
5;M;2;5208608;Goianésia;GO;D;A;A;A
1;F;0;5208608;Goianésia;GO;M;A;C;D
3;M;0;5211800;Jaraguá;GO;C;B;A;A
3;M;0;5208608;Goianésia;GO;E;B;B;D
3;F;1;5218904;Rubiataba;GO;A;A;A;A
7;F;4;5210901;Itapaci;GO;C;A;B;A
3;F;0;5205406;Ceres;GO;E;A;C;A
5;M;2;5211800;Jaraguá;GO;C;A;B;A
2;F;0;5208608;Goianésia;GO;B;A;B;A
3;M;0;5210901;Itapaci;GO;H;A;B;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
4;M;0;5208608;Goianésia;GO;B;A;B;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
7;F;3;5211206;Itapuranga;GO;B;A;B;A
1;M;0;5205406;Ceres;GO;D;A;A;A
3;M;0;5208608;Goianésia;GO;C;A;B;A
1;F;0;5205406;Ceres;GO;C;A;D;A
10;F;7;5208608;Goianésia;GO;C;A;B;A
10;F;3;5208608;Goianésia;GO;A;A;A;A
3;F;0;5208608;Goianésia;GO;C;B;B;A
3;F;0;5210901;Itapaci;GO;E;A;A;A
2;F;0;5210901;Itapaci;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;A;A;A;A
4;F;2;5205406;Ceres;GO;M;A;C;A
6;M;4;5208608;Goianésia;GO;B;A;A;A
1;M;0;5208608;Goianésia;GO;F;A;B;D
9;F;6;5208608;Goianésia;GO;G;A;B;A
3;M;0;5211206;Itapuranga;GO;G;A;B;A
2;F;0;5205406;Ceres;GO;D;A;B;A
1;F;0;5210901;Itapaci;GO;A;A;A;A
3;F;0;5210901;Itapaci;GO;C;B;B;A
2;F;0;5208608;Goianésia;GO;M;B;B;A
2;F;0;5210901;Itapaci;GO;B;A;A;A
2;F;0;5211206;Itapuranga;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;B;A;A;A
4;F;0;5211206;Itapuranga;GO;B;A;B;A
2;M;0;5205406;Ceres;GO;B;A;A;A
7;M;6;5205406;Ceres;GO;C;A;A;A
3;M;0;5210901;Itapaci;GO;B;A;A;A
2;M;0;5210901;Itapaci;GO;D;B;C;A
1;F;0;5208608;Goianésia;GO;B;A;A;C
1;F;0;5211800;Jaraguá;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;C;A;A;C
3;M;0;5205406;Ceres;GO;A;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;B;A
2;M;0;5208608;Goianésia;GO;C;A;B;A
1;M;0;5218904;Rubiataba;GO;B;A;A;A
1;F;0;5218904;Rubiataba;GO;I;A;C;A
3;F;0;5211206;Itapuranga;GO;B;A;A;A
3;F;1;5211206;Itapuranga;GO;B;A;A;A
2;M;0;5210901;Itapaci;GO;B;B;A;A
2;F;0;5210901;Itapaci;GO;G;A;A;A
2;M;0;5218904;Rubiataba;GO;B;A;A;A
4;M;1;5205406;Ceres;GO;H;A;B;D
2;M;0;5205406;Ceres;GO;C;A;B;D
2;M;0;5210901;Itapaci;GO;B;B;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
5;F;2;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5211206;Itapuranga;GO;B;A;C;A
2;M;0;5208608;Goianésia;GO;B;A;B;A
3;F;0;5218904;Rubiataba;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;C;A;A;A
7;F;0;5208608;Goianésia;GO;C;A;A;A
5;M;3;5208608;Goianésia;GO;B;A;D;C
9;F;6;5205406;Ceres;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;B;B;B;A
3;M;0;5211206;Itapuranga;GO;B;A;A;A
13;M;0;5211206;Itapuranga;GO;C;A;A;A
4;F;1;5210901;Itapaci;GO;B;A;B;B
3;M;0;5205406;Ceres;GO;B;A;A;A
1;M;0;5208608;Goianésia;GO;G;A;C;A
2;F;0;5210901;Itapaci;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;B;A;A;A
1;F;0;5205406;Ceres;GO;C;A;A;A
5;F;3;5208608;Goianésia;GO;G;A;A;A
1;F;0;5218904;Rubiataba;GO;E;A;B;A
2;F;0;5205406;Ceres;GO;B;B;C;A
1;F;0;5211800;Jaraguá;GO;C;A;A;A
2;M;0;5208608;Goianésia;GO;I;A;C;D
1;M;0;5210901;Itapaci;GO;C;A;C;A
1;F;0;5208608;Goianésia;GO;G;A;C;A
5;F;4;5205406;Ceres;GO;G;A;B;A
3;M;0;5208608;Goianésia;GO;D;B;B;A
1;F;0;5211800;Jaraguá;GO;G;B;B;A
3;M;0;5218904;Rubiataba;GO;B;B;C;A
14;M;18;5205406;Ceres;GO;G;A;B;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
5;M;3;5211800;Jaraguá;GO;C;A;A;A
2;F;0;5208608;Goianésia;GO;B;A;B;A
2;M;0;5208608;Goianésia;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;E;A;B;A
4;F;1;5208608;Goianésia;GO;B;A;A;A
2;M;0;5210901;Itapaci;GO;H;A;B;D
2;F;0;5208608;Goianésia;GO;C;A;C;A
3;M;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5210901;Itapaci;GO;C;A;B;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
10;F;8;5218904;Rubiataba;GO;B;A;A;A
