CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_REDACAO
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;552.6;629.2;576.0;700.5;0;1.0;880.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;452.6;442.9;454.2;517.5;1;1.0;500.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;502.8;540.4;561.8;456.3;1;1.0;380.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;513.4;609.2;567.4;625.7;0;1.0;820.0
52015742.0;5205406.0;Ceres;GO;4.0;1.0;1;1;1;1;612.2;646.1;608.6;824.8;0;1.0;940.0
52015360.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;479.4;366.0;517.1;547.9;1;1.0;800.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;467.7;550.8;513.8;647.9;0;1.0;880.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;478.6;479.2;505.7;532.6;1;1.0;740.0
52024741.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;549.5;529.1;535.7;554.0;0;1.0;680.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;474.2;490.2;535.0;410.9;0;1.0;840.0
52017354.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015351.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;584.1;584.8;559.2;578.9;0;1.0;740.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;479.4;561.4;533.1;420.2;0;1.0;460.0
60028883.0;5221700.0;Uruana;GO;4.0;1.0;1;1;1;1;471.7;438.0;557.4;536.2;0;1.0;880.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;620.4;629.8;597.6;777.2;0;1.0;840.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52014517.0;5203203.0;Barro Alto;GO;2.0;1.0;1;1;1;1;495.6;464.4;507.5;488.7;0;1.0;540.0
52018172.0;5213855.0;Morro Agudo de Goiás;GO;2.0;1.0;1;1;1;1;433.4;481.4;345.0;399.1;1;1.0;380.0
52014517.0;5203203.0;Barro Alto;GO;2.0;1.0;0;0;0;0;;;;;1;;
52019926.0;5221700.0;Uruana;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;0;1;1;0;;350.8;497.8;;0;4.0;0.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;469.0;434.1;517.6;442.9;1;1.0;800.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;1;1;0;;322.5;451.6;;1;6.0;0.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;613.1;582.7;528.2;713.5;1;1.0;900.0
52019926.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;577.9;578.0;562.3;640.4;0;1.0;740.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;546.1;536.6;524.9;516.9;0;1.0;660.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;491.6;592.2;607.0;646.6;1;1.0;860.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;539.6;641.1;586.5;687.9;0;1.0;840.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;513.9;583.9;590.0;677.5;1;1.0;880.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017354.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;502.5;512.9;495.1;635.4;0;1.0;780.0
52019624.0;5219357.0;Santa Isabel;GO;2.0;1.0;1;1;1;1;484.3;489.9;487.3;549.1;1;1.0;560.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;0;0;0;0;;;;;0;;
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;433.8;535.2;558.7;581.2;1;1.0;600.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;404.0;404.0;438.9;496.5;1;6.0;0.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;437.2;476.2;512.0;461.6;1;1.0;500.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;486.1;491.6;534.1;506.4;0;1.0;620.0
52019080.0;5218706.0;Rianápolis;GO;2.0;1.0;1;1;1;1;410.7;446.4;485.7;416.2;1;1.0;380.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;555.3;369.9;512.0;468.0;0;1.0;680.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;423.4;510.0;487.6;559.7;0;1.0;720.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;546.2;554.7;499.4;450.7;0;1.0;500.0
52015360.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52018423.0;5214861.0;Nova Glória;GO;2.0;1.0;1;1;1;1;556.0;531.2;530.3;539.5;0;1.0;500.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;419.9;455.5;499.6;407.0;1;1.0;600.0
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;558.0;623.7;597.5;575.7;0;1.0;740.0
52015335.0;5205406.0;Ceres;GO;4.0;1.0;1;1;1;1;511.2;549.0;567.7;671.1;0;1.0;840.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;440.1;431.6;436.3;402.4;1;1.0;740.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;507.4;475.3;506.7;483.2;1;1.0;720.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;406.3;499.5;512.5;514.1;0;1.0;700.0
52015041.0;5205000.0;Carmo do Rio Verde;GO;2.0;1.0;1;1;1;1;460.8;446.5;503.5;481.6;1;1.0;520.0
52015998.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;459.9;385.9;532.6;447.0;0;1.0;620.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
60028191.0;5221700.0;Uruana;GO;2.0;1.0;1;1;1;1;506.1;453.2;510.5;459.5;0;1.0;580.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;1;1;1;1;445.5;495.6;519.0;506.2;1;1.0;720.0
60028166.0;5210901.0;Itapaci;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;526.8;560.6;524.7;691.3;1;1.0;760.0
60029013.0;5205406.0;Ceres;GO;4.0;1.0;1;1;1;1;570.0;722.1;549.7;494.3;0;1.0;760.0
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;368.2;495.3;519.2;565.0;1;1.0;600.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;524.4;520.3;481.7;398.2;0;1.0;440.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;513.5;502.3;548.4;448.3;1;1.0;500.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;441.9;486.5;498.0;579.7;0;1.0;720.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;444.1;446.5;498.6;405.1;1;1.0;520.0
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;603.8;576.9;522.1;532.1;1;1.0;740.0
52024636.0;5211800.0;Jaraguá;GO;4.0;1.0;1;1;1;1;561.3;625.7;609.8;688.6;1;1.0;880.0
52015033.0;5220280.0;São Patrício;GO;2.0;1.0;1;1;1;1;423.5;460.6;518.6;545.1;1;1.0;620.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;424.7;523.5;466.7;387.0;0;1.0;720.0
52016790.0;5209291.0;Guaraíta;GO;2.0;1.0;1;1;1;1;350.7;354.4;398.6;441.0;1;1.0;480.0
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;449.9;568.5;546.8;744.7;0;1.0;880.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;371.1;535.2;526.1;399.0;0;1.0;580.0
52098834.0;5208608.0;Goianésia;GO;4.0;1.0;1;1;1;1;556.7;614.2;551.4;535.9;0;1.0;920.0
52014517.0;5203203.0;Barro Alto;GO;2.0;1.0;1;1;1;1;461.1;461.1;499.7;380.3;1;1.0;600.0
52017664.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;403.9;420.5;470.4;475.6;1;1.0;480.0
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;432.7;484.3;479.6;542.2;1;1.0;800.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;515.6;447.4;535.2;582.9;0;1.0;900.0
52015998.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;415.7;373.5;401.6;547.6;0;1.0;620.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;541.1;516.3;524.9;561.4;0;1.0;700.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;519.0;587.9;564.0;550.7;1;1.0;880.0
52019802.0;5220157.0;São Luiz do Norte;GO;2.0;1.0;1;1;1;1;493.5;541.2;482.4;404.8;1;1.0;680.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;385.9;374.1;493.4;384.4;1;1.0;520.0
60028258.0;5211800.0;Jaraguá;GO;4.0;1.0;1;1;1;1;446.2;404.5;500.8;546.3;1;1.0;640.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;500.7;470.4;438.3;433.8;1;1.0;460.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;575.3;593.9;549.4;639.6;1;1.0;680.0
52015351.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52017583.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;381.8;496.6;536.6;401.6;1;1.0;680.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;410.5;572.3;563.5;596.9;0;1.0;560.0
52015823.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;500.6;512.1;566.6;601.2;0;1.0;600.0
52024610.0;5211800.0;Jaraguá;GO;2.0;1.0;1;1;1;1;478.3;459.3;509.6;558.7;1;1.0;680.0
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;376.1;354.8;373.1;404.1;1;1.0;520.0
52015360.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;0;;
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;477.4;497.1;549.2;472.6;0;1.0;800.0
52024628.0;5211800.0;Jaraguá;GO;2.0;1.0;0;0;0;0;;;;;0;;
52015807.0;5208608.0;Goianésia;GO;2.0;1.0;0;0;0;0;;;;;1;;
52015815.0;5208608.0;Goianésia;GO;2.0;1.0;1;1;1;1;606.4;612.2;574.8;709.8;0;1.0;900.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;547.5;434.7;514.6;485.2;1;1.0;640.0
52019195.0;5218904.0;Rubiataba;GO;2.0;1.0;1;1;1;1;492.3;555.2;520.8;596.6;1;1.0;800.0
52017575.0;5211206.0;Itapuranga;GO;2.0;1.0;1;1;1;1;472.7;380.9;367.2;442.3;0;4.0;0.0
52015459.0;5205406.0;Ceres;GO;2.0;1.0;0;0;0;0;;;;;1;;
52070913.0;5205406.0;Ceres;GO;1.0;2.0;1;1;1;1;527.4;588.9;571.0;650.1;0;1.0;920.0
52017311.0;5210901.0;Itapaci;GO;2.0;1.0;1;1;1;1;465.9;520.1;537.9;544.1;0;1.0;620.0
60028153.0;5208608.0;Goianésia;GO;2.0;2.0;1;1;1;1;379.9;531.1;543.3;453.0;1;1.0;720.0
